model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage,reference_rmse,reference_qlike,reference_mz_alpha,reference_mz_beta,reference_mz_r2,reference_model,delta_rmse,delta_qlike,delta_mz_r2
har,Controls,path,639,6390,0.48618535830693815,0.49833213533099635,-0.06466994632754963,1.0143929288235929,0.24347579795442298,confirmation,0.48414701169249885,0.506055492021564,0.19835656753687564,1.0676473019779669,0.25008607389177806,sequence_ridge,0.0020383466144393014,-0.007723356690567618,-0.006610275937355081
garch_1_1_t,Controls,path,639,6390,0.6999330459983134,0.6144608095068806,-1.721401553222394,0.7314506844368773,0.19308803258173468,confirmation,0.48414701169249885,0.506055492021564,0.19835656753687564,1.0676473019779669,0.25008607389177806,sequence_ridge,0.21578603430581456,0.10840531748531668,-0.05699804131004338
esn_direct_tuned,Controls,path,639,6390,0.4871765818718061,0.5025903686664126,0.4986991974553267,1.129330641975952,0.24440348720151772,confirmation,0.48414701169249885,0.506055492021564,0.19835656753687564,1.0676473019779669,0.25008607389177806,sequence_ridge,0.0030295701793072727,-0.003465123355151367,-0.005682586690260338
esn_shuffled_tuned,Controls,path,639,6390,0.4930144344940715,0.5121747404039607,0.6765300717903532,1.1671110063726573,0.2325537421009629,confirmation,0.48414701169249885,0.506055492021564,0.19835656753687564,1.0676473019779669,0.25008607389177806,sequence_ridge,0.008867422801572655,0.006119248382396747,-0.017532331790815148
persistence,Pooled,path,852,8520,0.6195392342008,1.4295984830303088,-2.91597414374502,0.4070030174356633,0.08381896679863321,confirmation,0.5304463258648063,0.9226201719016642,0.20254723098651212,1.0470387624741244,0.19866065774034403,sequence_ridge,0.0890929083359937,0.5069783111286446,-0.11484169094171082
har,Pooled,path,852,8520,0.5335943921361694,0.932291600101475,-0.1233438991311385,0.9803553326192432,0.18851701648113517,confirmation,0.5304463258648063,0.9226201719016642,0.20254723098651212,1.0470387624741244,0.19866065774034403,sequence_ridge,0.0031480662713631036,0.009671428199810816,-0.010143641259208858
garch_1_1_t,Pooled,path,852,8520,0.678466141320135,0.7141064766736509,-1.6422308174886644,0.7259450127884041,0.15965948292007126,confirmation,0.5304463258648063,0.9226201719016642,0.20254723098651212,1.0470387624741244,0.19866065774034403,sequence_ridge,0.14801981545532872,-0.20851369522801333,-0.039001174820272766
esn_direct_tuned,Pooled,path,852,8520,0.5319094377633411,0.9094254229021355,0.5134942879844859,1.1109476619587724,0.19621043888102596,confirmation,0.5304463258648063,0.9226201719016642,0.20254723098651212,1.0470387624741244,0.19866065774034403,sequence_ridge,0.0014631118985347635,-0.013194748999528771,-0.002450218859318065
esn_shuffled_tuned,Pooled,path,852,8520,0.5358315092460247,0.9217811035596627,0.6961818870448552,1.1499209792209977,0.18694343794413637,confirmation,0.5304463258648063,0.9226201719016642,0.20254723098651212,1.0470387624741244,0.19866065774034403,sequence_ridge,0.005385183381218406,-0.0008390683420015366,-0.011717219796207656
persistence,Transition,path,520,5200,0.7250386124339986,2.865945153780218,-2.8931015083118217,0.3372800660041216,0.06579321033371777,development_all,0.600853676191593,1.7219096121942843,-0.7388800833211626,0.7937761444490211,0.1439308370725696,sequence_ridge,0.12418493624240556,1.1440355415859336,-0.07813762673885183
har,Transition,path,520,5200,0.6079062714533446,1.7841501210671116,-0.8281409662808427,0.7727286168768817,0.14395516768152083,development_all,0.600853676191593,1.7219096121942843,-0.7388800833211626,0.7937761444490211,0.1439308370725696,sequence_ridge,0.007052595261751615,0.06224050887282728,2.433060895123962e-05
garch_1_1_t,Transition,path,520,5200,0.5855315077920716,0.8660001478092928,-2.033370014545507,0.5669406486108737,0.12167441975934301,development_all,0.600853676191593,1.7219096121942843,-0.7388800833211626,0.7937761444490211,0.1439308370725696,sequence_ridge,-0.015322168399521385,-0.8559094643849915,-0.022256417313226584
esn_direct_tuned,Transition,path,520,5200,0.599179035489022,1.6938362155671092,-0.3648864668347796,0.8714258434209001,0.1471474045478658,development_all,0.600853676191593,1.7219096121942843,-0.7388800833211626,0.7937761444490211,0.1439308370725696,sequence_ridge,-0.001674640702571062,-0.028073396627175118,0.003216567475296195
esn_shuffled_tuned,Transition,path,520,5200,0.5973899712484091,1.6889588701970268,-0.3178120080805625,0.8830190254618409,0.13897313164159242,development_all,0.600853676191593,1.7219096121942843,-0.7388800833211626,0.7937761444490211,0.1439308370725696,sequence_ridge,-0.0034637049431839317,-0.03295074199725745,-0.004957705430977177
persistence,L1,path,175,1750,0.8210442381285059,3.997629048585409,-1.7924099638387847,0.5055847549375359,0.12985787833777573,development_all,0.7363166563338691,2.9574787551812145,-0.6609400125794883,0.7505951970571673,0.13190606329906973,sequence_ridge,0.0847275817946368,1.0401502934041944,-0.0020481849612939973
har,L1,path,175,1750,0.7445792558347315,3.0419330649118628,-0.4845921610303057,0.7846348411883001,0.14897634998541875,development_all,0.7363166563338691,2.9574787551812145,-0.6609400125794883,0.7505951970571673,0.13190606329906973,sequence_ridge,0.008262599500862389,0.08445430973064827,0.017070286686349023
garch_1_1_t,L1,path,175,1750,0.5478137860694136,1.2097586121425616,-1.6256556280193915,0.5935251879003556,0.14094869368037732,development_all,0.7363166563338691,2.9574787551812145,-0.6609400125794883,0.7505951970571673,0.13190606329906973,sequence_ridge,-0.18850287026445556,-1.7477201430386529,0.009042630381307593
esn_direct_tuned,L1,path,175,1750,0.7342959110206505,2.908449625809881,-0.16126630183775534,0.8539695295807026,0.1489587909261686,development_all,0.7363166563338691,2.9574787551812145,-0.6609400125794883,0.7505951970571673,0.13190606329906973,sequence_ridge,-0.002020745313218608,-0.049029129371333635,0.017052727627098863
esn_shuffled_tuned,L1,path,175,1750,0.7300732209283344,2.905113176374033,-0.44040384839457875,0.7981516829624974,0.12219863928776731,development_all,0.7363166563338691,2.9574787551812145,-0.6609400125794883,0.7505951970571673,0.13190606329906973,sequence_ridge,-0.006243435405534736,-0.05236557880718129,-0.009707424011302423
