model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,fold
esn_shuffled_tuned,Controls,path,369,3690,0.48058235441009683,0.4459428268497125,0.8216486943958201,1.1944362012642622,0.2162874630523216,7
esn_shuffled_tuned,Pooled,path,492,4920,0.5231665245023324,0.8553107615062379,0.6143370747185397,1.1309239422476065,0.164183198288819,7
garch_1_1_t,Transition,path,123,1230,0.5841800649784711,1.0312463748411518,-1.9540563454729163,0.5806967257642058,0.0941520504562342,7
garch_1_1_t,L1,path,41,410,0.6121658836901294,1.7169176886495074,-1.9924048799084437,0.5016426790339006,0.0749056356496478,7
garch_1_1_t,L5,path,41,410,0.5531512291465447,0.9008071009583642,-1.6597345321501837,0.644168210201496,0.1270756765392318,7
garch_1_1_t,L10,path,41,410,0.5857266371732653,0.4760143349155841,-1.808947598706397,0.685429813135175,0.2133705276544432,7
garch_1_1_t,Controls,path,369,3690,0.6609185772809031,0.5474822587477969,-1.6145456040581891,0.7446421613250228,0.1617661706327005,7
garch_1_1_t,Pooled,path,492,4920,0.6425936596526786,0.6684232877711357,-1.6353056671821362,0.7179088075283896,0.13342555497626007,7
har,Transition,path,123,1230,0.6500290210455371,2.2659686993817263,-0.871997988240948,0.7572773866807851,0.1042495369250066,7
har,L1,path,41,410,0.8288491831369116,4.153026721380853,-1.4354727056213652,0.5788418169805356,0.06695889157982104,7
har,L5,path,41,410,0.6352216561922799,2.177565553090477,-0.5217277068742869,0.8258151330428432,0.12966365940722535,7
har,L10,path,41,410,0.4208511182376367,0.4673138236738483,-0.5581078384642176,0.887789472727757,0.23800414250990243,7
har,Controls,path,369,3690,0.471748365849681,0.4386655281279695,-0.05982941624848799,1.0097100520359001,0.2244635455573597,7
har,Pooled,path,492,4920,0.5220577770340542,0.8954913209414087,-0.30891701537991456,0.9371623127056578,0.16447874884328828,7
persistence,Transition,path,123,1230,0.7374119645725308,3.224885698078426,-2.9221545855140008,0.3355343397814944,0.049068037119956665,7
persistence,L1,path,41,410,0.8958066840487552,5.36615235983839,-2.105838614067998,0.43603471914874464,0.07407914490359979,7
persistence,L5,path,41,410,0.7542199395614128,3.3676554782703993,-3.3394797851892677,0.2518164701941202,0.04507457639623669,7
persistence,L10,path,41,410,0.5099136045113043,0.9408492561264907,-2.950787594661014,0.39232441269019114,0.07172758448628047,7
persistence,Controls,path,369,3690,0.5548320300091444,0.7720021776286511,-3.060919583928487,0.39208029287483814,0.08864697891457318,7
persistence,Pooled,path,492,4920,0.6056591760361028,1.3852230577410949,-3.012250601603163,0.38077202331974763,0.06952664145563014,7
sequence_ridge,Transition,path,123,1230,0.6403099806441662,2.1617158822522224,-0.5608570512042675,0.82340163706762,0.10584608252671268,7
sequence_ridge,L1,path,41,410,0.8148548694008683,3.9544199937922695,-1.2186995098871358,0.6250809108157231,0.06576981015724281,7
sequence_ridge,L5,path,41,410,0.6256404453858601,2.069859276979981,-0.3280252356818969,0.8687255737312547,0.12463387897355305,7
sequence_ridge,L10,path,41,410,0.4178231549934427,0.460868375984417,-0.1566267706238981,0.9722257968515536,0.24696193863457683,7
sequence_ridge,Controls,path,369,3690,0.47449910678646984,0.4409793908782791,0.17859298048837294,1.060785805801013,0.22487359538790452,7
sequence_ridge,Pooled,path,492,4920,0.5209234776663473,0.871163513721765,-0.008185242114628141,1.001050279463566,0.16791096222237167,7
esn_direct_tuned,Transition,path,90,900,0.6637308131771018,2.179725793956924,0.3899268270374952,1.0244667926535431,0.15787523686763394,8
esn_direct_tuned,L1,path,30,300,0.7891796383633444,3.453178187713188,1.2453455003687717,1.1357937912528417,0.20703654353363654,8
esn_direct_tuned,L5,path,30,300,0.6756680338179614,2.364897636965433,0.6144858605887557,1.0659893300192271,0.17935909064877187,8
esn_direct_tuned,L10,path,30,300,0.49222350975088713,0.7211015571921503,0.10755520651773709,1.0337718394367899,0.2292470015120418,8
