model,group,horizon,n_samples,n_forecasts,rmse,qlike,mz_alpha,mz_beta,mz_r2,stage
esn_direct_tuned,Transition,8,213,213,0.7159885208587142,2.7729796730529057,0.13708374648041718,0.9569322562660681,0.11041080398885972,confirmation
esn_direct_tuned,Transition,9,213,213,0.7022491721579212,2.4210165921542104,-1.7467247324321689,0.5685289970614,0.04529729704971597,confirmation
esn_direct_tuned,Transition,10,213,213,0.7561233969433404,3.120686021254719,-0.6238389886470149,0.75178265905472,0.10867199361318203,confirmation
esn_direct_tuned,L1,1,71,71,0.801973535449869,3.618967303748082,0.38731642708065983,0.9337968504006192,0.26379612642761885,confirmation
esn_direct_tuned,L1,2,71,71,0.7347937546165995,3.135920183252262,-0.0929171382751413,0.8807735564744579,0.12490189243033667,confirmation
esn_direct_tuned,L1,3,71,71,0.7595853674063493,3.9086606940425077,0.4254773815657985,0.9796164383148248,0.15318033254269336,confirmation
esn_direct_tuned,L1,4,71,71,0.8775091974777638,4.7665658407647635,2.7193929292406587,1.4219678494573624,0.2209683860691457,confirmation
esn_direct_tuned,L1,5,71,71,0.785682952234975,3.127902525967514,-0.9593033818164286,0.6887533500274978,0.06691054029986454,confirmation
esn_direct_tuned,L1,6,71,71,0.8145651870171097,3.7864490261815447,1.165005189418051,1.1148569022314652,0.17453401163768045,confirmation
esn_direct_tuned,L1,7,71,71,0.7932801202750533,3.4004395536145844,-0.23810653672447424,0.8348669960619496,0.09559207965994487,confirmation
esn_direct_tuned,L1,8,71,71,0.7909929167283759,3.753415990190012,0.17969419784979468,0.909193148251573,0.14564607738681956,confirmation
esn_direct_tuned,L1,9,71,71,0.8431162082414353,3.7451469545697047,-1.2756043518697495,0.6100165692184086,0.05468392856084403,confirmation
esn_direct_tuned,L1,10,71,71,0.7960583753573899,3.4883105829548535,-1.1964041901540519,0.6247336602937155,0.06899889660948477,confirmation
esn_direct_tuned,L5,1,71,71,0.45193729752809403,0.3911962882329549,-1.7686466004007741,0.650548551113236,0.12375825053934741,confirmation
esn_direct_tuned,L5,2,71,71,0.36304300356615615,0.2922183054398122,-0.27466272699100713,0.9494755049718407,0.30067681704462224,confirmation
esn_direct_tuned,L5,3,71,71,0.38677548999738226,0.24596046757389178,0.45051825763258563,1.1049329877367353,0.35255650876892675,confirmation
esn_direct_tuned,L5,4,71,71,0.33688139523969923,0.19197433437686168,-1.4509545066271523,0.7163591035475625,0.2199851516987278,confirmation
esn_direct_tuned,L5,5,71,71,0.7526341681084828,3.0860859728743653,-0.2621525214324189,0.8132675846625902,0.19096921113114396,confirmation
esn_direct_tuned,L5,6,71,71,0.7182608403279318,2.9884800717544495,-1.5287448932123988,0.5974125571708147,0.06276853763424939,confirmation
esn_direct_tuned,L5,7,71,71,0.7187920762521928,3.4534739509799497,-0.09604363834178478,0.8876490726637106,0.12029590493553366,confirmation
