candidate,from_state,to_state,raw_transition_days,episode_count,episodes_1993_2004,episodes_2005_2014,episodes_2015_2019,episodes_2020_2024,fwd_return_5d_mean,fwd_return_5d_median,fwd_return_10d_mean,fwd_return_10d_median,fwd_return_20d_mean,fwd_return_20d_median,fwd_max_drawdown_20d_mean,fwd_max_drawdown_20d_median,fwd_max_upside_20d_mean,fwd_max_upside_20d_median,future_rv_20d_mean,future_rv_20d_median
state__vol_level_x_acceleration_grid,5,8,40,37,13,12,7,5,0.003906860481112353,-0.0006992476095720734,0.0010047704686698268,0.006498341118290174,0.0115902585269748,0.02699494873889563,-0.03479882630044375,-0.024947670327013838,0.039021480487280304,0.035275525207157044,0.21510434263453795,0.2106459994798989
state__vol_level_x_acceleration_grid,6,3,39,34,12,9,5,8,0.002116790166206505,0.0046027941725077515,0.007349498473858965,0.011340757717805294,0.011067471537880383,0.028666475664919422,-0.024980342720502216,-0.011974312377845742,0.030496171783990843,0.031101356519530388,0.14468666560442517,0.13549771844901035
state__vol_level_x_acceleration_grid,6,4,9,9,2,5,2,0,0.002766487833332776,0.005809082710503954,-0.00040337838048950153,0.017555268131574486,-0.0018759458187141112,0.004950974909592398,-0.0354536822654444,-0.007279798002351123,0.029231343116369754,0.030807926538248598,0.20211233420544875,0.1575073652329227
state__vol_level_x_acceleration_grid,6,5,1,1,1,0,0,0,0.022227463705704942,0.022227463705704942,-0.038001946496366124,-0.038001946496366124,0.03680712651154261,0.03680712651154261,-0.044932617156090204,-0.044932617156090204,0.04780113811666342,0.04780113811666342,0.2382984930234963,0.2382984930234963
state__vol_level_x_acceleration_grid,6,7,150,131,58,42,9,22,0.0066605752085322455,0.007262323498536505,0.008732304190942862,0.01111398287728016,0.012794396461202045,0.0180810055337417,-0.033858224266901306,-0.023249710078718122,0.04457889285711303,0.04061613095861061,0.22314925225180082,0.2042716710925935
state__vol_level_x_acceleration_grid,6,8,16,16,7,5,1,3,-0.012129339743888364,-0.016676296176811045,-0.0014130304222632756,0.004716534744268586,-0.003102583720756648,0.01700800222181731,-0.046739221702411654,-0.031186302742705008,0.040014479239651984,0.033940333383075005,0.26016713544623865,0.19172703229852522
state__vol_level_x_acceleration_grid,7,3,3,3,1,2,0,0,-0.00011006699170664398,0.010274607284888715,0.00532296984955057,0.014691429894900354,0.0035613893036629727,0.019309176524635374,-0.03204251787908526,-0.02653690343193038,0.02336528892800671,0.02386402789813835,0.1823122261067209,0.1798441989027019
state__vol_level_x_acceleration_grid,7,4,15,15,9,2,3,1,-0.0018735379874021073,0.00494859192929753,-0.00014147433960246905,0.0068719415685305485,0.0012283432014137175,0.009139202839663518,-0.03231671361174482,-0.02375544808269925,0.026498778910244918,0.024000933366389976,0.1691625681747852,0.1541837922473906
state__vol_level_x_acceleration_grid,7,5,5,5,3,1,0,1,-0.011323747921076089,-0.01796879776978111,-0.013615708648794134,-0.031965755787014216,-0.031293550494953214,-0.07150718683971546,-0.06276877051525123,-0.08546415979687105,0.02169146519537557,0.0037019076786928284,0.19782334093379186,0.1955438598514125
state__vol_level_x_acceleration_grid,7,6,155,135,57,41,13,24,0.001744015399610649,0.005266096833163703,0.0069610387615546415,0.016794229425171947,0.008706432800292778,0.01679367422693545,-0.03365056338192402,-0.02335591934752934,0.04119125237250985,0.041402138486218876,0.2153447400712248,0.1951576037976559
state__vol_level_x_acceleration_grid,7,8,145,116,53,39,9,15,0.00712857813242676,0.00806306078378305,0.008699816260300376,0.007752214815339498,0.0195079996627079,0.01757512149662732,-0.03343046968470068,-0.02436227065115515,0.04997115056674042,0.042004545865679255,0.23399691995523078,0.211121297890245
state__vol_level_x_acceleration_grid,8,3,2,2,0,2,0,0,-0.01712701318108223,-0.01712701318108223,-0.006906869636376101,-0.006906869636376101,0.030734655428365176,0.030734655428365176,-0.027454712801694647,-0.027454712801694647,0.03087129480642037,0.03087129480642037,0.1657623834837651,0.1657623834837651
