index,lead,feature,smd,n_positive,n_negative,abs_smd,stable_stratum
^BVSP_data,10,max20,-0.01836962733970465,8,24,0.01836962733970465,True
^DJI_data,1,level,-0.24139664382269233,5,15,0.24139664382269233,True
^DJI_data,1,mean5,-0.07594015019691171,5,15,0.07594015019691171,True
^DJI_data,1,mean20,0.06517575650662098,5,15,0.06517575650662098,True
^DJI_data,1,slope5,0.011455002226491184,5,15,0.011455002226491184,True
^DJI_data,1,slope20,0.07864707067225349,5,15,0.07864707067225349,True
^DJI_data,1,std20,-0.7211067213587412,5,15,0.7211067213587412,True
^DJI_data,1,max20,0.18165500371379362,5,15,0.18165500371379362,True
^DJI_data,5,level,-0.12581779144567,5,15,0.12581779144567,True
^DJI_data,5,mean5,0.06835797626078052,5,15,0.06835797626078052,True
^DJI_data,5,mean20,-0.009579377323275382,5,15,0.009579377323275382,True
^DJI_data,5,slope5,0.0535278177560738,5,15,0.0535278177560738,True
^DJI_data,5,slope20,-0.0010628298726797327,5,15,0.0010628298726797327,True
^DJI_data,5,std20,-0.11847337344856998,5,15,0.11847337344856998,True
^DJI_data,5,max20,0.0029519009332600833,5,15,0.0029519009332600833,True
^DJI_data,10,level,0.206061815840481,5,15,0.206061815840481,True
^DJI_data,10,mean5,-0.04316219804669538,5,15,0.04316219804669538,True
^DJI_data,10,mean20,0.04716215033902475,5,15,0.04716215033902475,True
^DJI_data,10,slope5,0.13356722060321793,5,15,0.13356722060321793,True
^DJI_data,10,slope20,-0.06047565632956675,5,15,0.06047565632956675,True
^DJI_data,10,std20,0.09998317980884557,5,15,0.09998317980884557,True
^DJI_data,10,max20,-0.01751243248417203,5,15,0.01751243248417203,True
^FCHI_data,1,level,-0.08077868631391638,18,54,0.08077868631391638,True
^FCHI_data,1,mean5,0.0503919761167948,18,54,0.0503919761167948,True
^FCHI_data,1,mean20,0.07610786933357783,18,54,0.07610786933357783,True
^FCHI_data,1,slope5,0.07227823176173731,18,54,0.07227823176173731,True
^FCHI_data,1,slope20,-0.1495823744322518,18,54,0.1495823744322518,True
^FCHI_data,1,std20,0.02475205677452702,18,54,0.02475205677452702,True
^FCHI_data,1,max20,0.10658789994085294,18,54,0.10658789994085294,True
^FCHI_data,5,level,0.04809856567959245,18,54,0.04809856567959245,True
^FCHI_data,5,mean5,-0.039460913282915205,18,54,0.039460913282915205,True
^FCHI_data,5,mean20,-0.06906531996110757,18,54,0.06906531996110757,True
^FCHI_data,5,slope5,-0.002036367991944195,18,54,0.002036367991944195,True
^FCHI_data,5,slope20,0.06683237572739419,18,54,0.06683237572739419,True
^FCHI_data,5,std20,0.15667091310922168,18,54,0.15667091310922168,True
^FCHI_data,5,max20,-0.0403474794494647,18,54,0.0403474794494647,True
^FCHI_data,10,level,-0.009083546390359814,18,54,0.009083546390359814,True
^FCHI_data,10,mean5,0.0534215791657109,18,54,0.0534215791657109,True
^FCHI_data,10,mean20,0.0644689782833444,18,54,0.0644689782833444,True
^FCHI_data,10,slope5,-0.16755406746576873,18,54,0.16755406746576873,True
^FCHI_data,10,slope20,0.04066800073636887,18,54,0.04066800073636887,True
^FCHI_data,10,std20,0.08678973175146744,18,54,0.08678973175146744,True
^FCHI_data,10,max20,-0.040632655962043414,18,54,0.040632655962043414,True
^FTSE_data,1,level,-0.125426842728526,18,54,0.125426842728526,True
^FTSE_data,1,mean5,-0.015067229746808398,18,54,0.015067229746808398,True
^FTSE_data,1,mean20,-0.007675670682084233,18,54,0.007675670682084233,True
^FTSE_data,1,slope5,-0.25438785599977715,18,54,0.25438785599977715,True
^FTSE_data,1,slope20,-0.015064143542564105,18,54,0.015064143542564105,True
