model,split,n_rows,rmse,qlike,corr,actual_std,pred_std,pred_mean,n_qubits,h,seed,features,effective_rank,elapsed_feature_seconds,q80_precision,q80_recall,q80_f1,q80_pred_rate,q90_precision,q90_recall,q90_f1,q90_pred_rate,q95_precision,q95_recall,q95_f1,q95_pred_rate,top20_pred_actual_ratio
TFIM_6q_h0.5_seed2,test,700,0.14892203241577065,-1.506160227518756,0.24660209459424418,0.14797582618463517,0.005849570210528955,0.16720745734443038,6,0.5,2,21,15.569859827394005,16.55781388282776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42181109334792366
TFIM_6q_h1_seed0,train,1600,0.058660276330118936,-2.8257743000328706,0.5739640124828677,0.06876837833520376,0.0270964223188043,0.12934617138664045,6,1.0,0,21,15.745231657737985,18.66373300552368,0.5357142857142857,0.046875,0.08620689655172414,0.0175,0.0,0.0,0.0,0.000625,0.0,0.0,0.0,0.0,
TFIM_6q_h1_seed0,val,500,0.05271683057580268,-2.85606815818175,0.24140316821446084,0.0542449043115403,0.011304897931228162,0.13281928643533764,6,1.0,0,21,15.745231657737985,18.66373300552368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h1_seed0,test,700,0.1599630825104378,-0.7290914509116849,0.16868227979015762,0.14797582618463517,0.009970671528220192,0.1292111055844829,6,1.0,0,21,15.745231657737985,18.66373300552368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32141961474573455
TFIM_6q_h1_seed1,train,1600,0.05657342330507542,-2.8589229998005328,0.6711895419622291,0.06876837833520376,0.024380392525982203,0.1288509462824117,6,1.0,1,21,17.269839227008998,18.5932879447937,0.2727272727272727,0.009375,0.01812688821752266,0.006875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h1_seed1,val,500,0.05604407545442927,-2.8119046066417477,-0.29916958701118396,0.0542449043115403,0.0052258088370462676,0.1337889170107542,6,1.0,1,21,17.269839227008998,18.5932879447937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h1_seed1,test,700,0.16024839536397284,-0.5664484243856872,-0.45826859560924815,0.14797582618463517,0.0035485654573104743,0.13581336052383608,6,1.0,1,21,17.269839227008998,18.5932879447937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305666634772567
TFIM_6q_h1_seed2,train,1600,0.056074763546946814,-2.854982876175532,0.6240176560090931,0.06876837833520376,0.03054660350849871,0.1299594727696537,6,1.0,2,21,16.13980488499313,14.881712913513184,0.6909090909090909,0.11875,0.20266666666666666,0.034375,0.5,0.04375,0.08045977011494253,0.00875,0.7142857142857143,0.0625,0.11494252873563218,0.004375,
TFIM_6q_h1_seed2,val,500,0.05643174872517759,-2.8439022467802597,-0.1990083014690465,0.0542449043115403,0.0051203314554890845,0.14527613184405083,6,1.0,2,21,16.13980488499313,14.881712913513184,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TFIM_6q_h1_seed2,test,700,0.155907346376629,-0.9662285443793246,-0.027754233969125165,0.14797582618463517,0.00416940363081657,0.1445960569290845,6,1.0,2,21,16.13980488499313,14.881712913513184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3625155262909905
