index,market_group,onset_date,effective_start,threshold,train_days,history_start,history_end,pre_onset_level,onset_level,jump_logvol,peak60,peak_gain60,persist60,recovery_days,episode_id,representative_rank
^AORD_data,australia,2015-06-18,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-4.9301029851166005,-4.648848914094318,0.28125407102228284,-3.646973431810469,1.2831295533061313,37,2.0,GE156,0
^GSPTSE_data,canada,2015-08-12,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.067353789996598,-4.899153822549044,0.1681999674475536,-3.447269484859076,1.6200843051375218,26,1.0,GE157,0
^N100_data,europe_regional,2015-08-17,2002-01-01,-4.458896466871115,3551,2002-01-02,2024-06-24,-4.684453426122925,-4.417037595674129,0.2674158304487957,-3.2026229154888743,1.4818305106340506,22,1.0,GE157,0
^HSI_data,hong_kong,2015-08-18,1990-01-01,-4.394032329220108,6426,1990-01-02,2024-06-24,-5.064002294740599,-4.256972982565942,0.8070293121746577,-3.5654939962167034,1.498508298523896,18,1.0,GE157,0
^FTSE_data,united_kingdom,2015-08-19,1984-01-01,-4.5931790232554315,8079,1984-01-03,2024-06-24,-5.2189951199012885,-4.471834490712335,0.7471606291889534,-3.16624961439142,2.0527455055098685,26,1.0,GE157,0
^XAX_data,united_states,2015-08-19,1995-01-01,-4.6872133610710325,5038,1995-12-27,2024-06-24,-5.583889618265134,-4.686217685355402,0.8976719329097325,-3.6202740001730693,1.963615618092065,16,1.0,GE157,5
^N225_data,japan,2015-08-24,1989-01-01,-4.395430311287022,6639,1989-01-04,2024-06-24,-4.683013277526487,-3.8668907819081197,0.8161224956183672,-3.3318253000277447,1.3511879774987423,17,3.0,GE158,0
^DJI_data,united_states,2015-08-20,1992-01-01,-4.561235385362544,6047,1992-01-02,2024-06-24,-4.815485494438478,-4.389580494605617,0.425904999832861,-3.1911192500288212,1.6243662444096572,17,6.0,GE158,2
^MERV_data,argentina,2015-09-21,1996-01-01,-3.9763398936998335,4716,1996-10-08,2024-06-24,-4.213919658200155,-3.9545588662503848,0.2593607919497698,-2.8185476072387625,1.395372050961392,28,6.0,GE159,0
^AORD_data,australia,2015-10-29,1984-01-01,-4.88487875713249,7917,1984-08-03,2024-06-24,-5.570259071912009,-4.588798616402073,0.9814604555099358,-4.222252583273723,1.348006488638286,35,1.0,GE160,0
^GSPTSE_data,canada,2015-12-01,1979-01-01,-4.90810151296278,9153,1979-06-29,2024-06-24,-5.363091915067942,-4.88193523660365,0.4811566784642922,-3.8853911158435688,1.4777007992243734,39,3.0,GE161,0
000001.SS_data,china_mainland,2015-12-28,1997-01-01,-4.183576157982243,4478,1997-07-02,2024-06-24,-5.191613025461389,-4.014717825599379,1.1768951998620096,-3.153203017570413,2.0384100078909757,25,1.0,GE162,0
^N100_data,europe_regional,2016-01-04,2002-01-01,-4.458896466871115,3551,2002-01-02,2024-06-24,-5.480007984941892,-4.421510893930708,1.0584970910111844,-3.5360053419523845,1.9440026429895076,28,1.0,GE162,0
