run_tag,scalar,lookback,delta_min,delta_max,split,task,raw_rmse,raw_plus_rydberg_rmse,delta_rmse,raw_corr,raw_plus_rydberg_corr,delta_corr,raw_precision,raw_plus_rydberg_precision,delta_precision,raw_recall,raw_plus_rydberg_recall,delta_recall,raw_f1,raw_plus_rydberg_f1,delta_f1,raw_average_precision,raw_plus_rydberg_average_precision,delta_average_precision,raw_roc_auc,raw_plus_rydberg_roc_auc,delta_roc_auc,rydberg_only_rmse,rydberg_only_corr,rydberg_only_f1,rydberg_only_average_precision,rydberg_only_roc_auc
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,val,regression,0.0536786944083775,0.0545886287058183,0.0009099342974408023,0.5303954384299505,0.5046740112775998,-0.025721427152350707,,,,,,,,,,,,,,,,0.0721953314313992,0.2002147967066138,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,test,q90_warning,,,,,,,0.4529411764705882,0.3986486486486486,-0.05429252782193961,0.5923076923076923,0.4538461538461538,-0.13846153846153852,0.5133333333333333,0.4244604316546763,-0.08887290167865702,0.5290705175862221,0.4798252935547667,-0.049245224031455426,0.8380970093736052,0.8202425234340128,-0.01785448593959238,,,0.2913907284768212,0.2820212385951579,0.6227272727272727
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,test,q95_crisis,,,,,,,0.4264705882352941,0.3676470588235294,-0.05882352941176472,0.5686274509803921,0.4901960784313725,-0.07843137254901966,0.4873949579831932,0.4201680672268907,-0.0672268907563025,0.5690479189602731,0.5011394613509835,-0.06790845760928954,0.7472825608230713,0.7725102619664217,0.02522770114335038,,,0.099009900990099,0.1411708527625978,0.6112784736536123
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,test,regression,0.0970798996818297,0.0968537031094551,-0.000226196572374604,0.6094008928922269,0.6119575888350822,0.002556695942855347,,,,,,,,,,,,,,,,0.1166946642488126,0.3014513214398543,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,train,q90_warning,,,,,,,0.6040515653775322,0.6206261510128913,0.016574585635359074,0.6040515653775322,0.6206261510128913,0.016574585635359074,0.6040515653775322,0.6206261510128913,0.016574585635359074,0.6644328124491512,0.7206998707587359,0.05626705830958467,0.9132923095942932,0.9510421401697188,0.03774983057542558,,,0.3167587476979742,0.3323545803639254,0.7997133916651402
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,train,q95_crisis,,,,,,,0.5845588235294118,0.6029411764705882,0.018382352941176405,0.5845588235294118,0.6029411764705882,0.018382352941176405,0.5845588235294118,0.6029411764705882,0.018382352941176405,0.6164070119190418,0.6761544188786851,0.05974740695964331,0.918731963407818,0.9706345743649408,0.051902610957122786,,,0.2941176470588235,0.260555704086036,0.8940410806556479
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,train,regression,0.0609667077565228,0.059583209344508,-0.0013834984120148011,0.7899746046380782,0.8008072306243069,0.010832625986228694,,,,,,,,,,,,,,,,0.0917364562871713,0.3860547968413702,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,val,q90_warning,,,,,,,0.0526315789473684,0.1290322580645161,0.07640067911714771,0.03125,0.125,0.09375,0.0392156862745098,0.1269841269841269,0.08776844070961709,0.0828398521369542,0.0667618938366445,-0.016077958300309697,0.7423740053050398,0.6529619805481874,-0.08941202475685239,,,0.0108108108108108,0.0254519599542636,0.4484416445623342
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,val,q95_crisis,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,val,regression,0.0536786944083775,0.0544712710996103,0.0007925766912328033,0.5303954384299505,0.5034226176432793,-0.02697282078667118,,,,,,,,,,,,,,,,0.070566116165723,0.1847391050511809,,,
