model,event,split,n,event_rate,called_rate,precision,recall,f1,average_precision,threshold,n_qubits,features,effective_rank,val_best_f1,roc_auc,elapsed_feature_seconds
QRC_ring_10q,q80,test,800,0.36375,0.01375,0.7272727272727273,0.027491408934707903,0.052980132450331126,0.4512451529777226,0.9988300669661281,10,20,13.928538487827067,0.30188679245283023,0.5625746865695826,97.28025603294373
QRC_ring_10q,q90,train,1800,0.1,0.16944444444444445,0.419672131147541,0.7111111111111111,0.5278350515463918,0.5020513308730093,0.6621088197202429,10,20,13.928538487827067,0.09178743961352658,0.8971639231824418,97.28025603294373
QRC_ring_10q,q90,val,600,0.035,0.655,0.04834605597964377,0.9047619047619048,0.09178743961352658,0.04129252376091999,0.6621088197202429,10,20,13.928538487827067,0.09178743961352658,0.5791594703511802,97.28025603294373
QRC_ring_10q,q90,test,800,0.26625,0.40875,0.3119266055045872,0.4788732394366197,0.37777777777777777,0.34976604830307056,0.6621088197202429,10,20,13.928538487827067,0.09178743961352658,0.5898057281794115,97.28025603294373
QRC_ring_10q,q95,train,1800,0.05,0.6494444444444445,0.07698887938408897,1.0,0.14297061159650518,0.3078898854687842,0.09615998620526862,10,20,13.928538487827067,0.058679706601466985,0.8989083820662769,97.28025603294373
QRC_ring_10q,q95,val,600,0.023333333333333334,0.6583333333333333,0.030379746835443037,0.8571428571428571,0.05867970660146699,0.021441202256458635,0.09615998620526862,10,20,13.928538487827067,0.058679706601466985,0.4614822038030229,97.28025603294373
QRC_ring_10q,q95,test,800,0.13,0.53,0.1320754716981132,0.5384615384615384,0.21212121212121213,0.15397411741503542,0.09615998620526862,10,20,13.928538487827067,0.058679706601466985,0.5331150530503979,97.28025603294373
HAR_plus_QRC_ring_10q,q80,train,1800,0.2,0.43777777777777777,0.44289340101522845,0.9694444444444444,0.60801393728223,0.6679032377710963,0.32875925553552954,10,28,18.90309966433933,0.3221476510067114,0.903119212962963,97.28025603294373
HAR_plus_QRC_ring_10q,q80,val,600,0.08333333333333333,0.165,0.24242424242424243,0.48,0.3221476510067114,0.2757705362589611,0.32875925553552954,10,28,18.90309966433933,0.3221476510067114,0.7841454545454545,97.28025603294373
HAR_plus_QRC_ring_10q,q80,test,800,0.36375,0.15,0.8,0.32989690721649484,0.46715328467153283,0.7406354174645544,0.32875925553552954,10,28,18.90309966433933,0.3221476510067114,0.8285095092459439,97.28025603294373
HAR_plus_QRC_ring_10q,q90,train,1800,0.1,0.8133333333333334,0.12295081967213115,1.0,0.21897810218978103,0.5349472684655098,0.019038112462591864,10,28,18.90309966433933,0.08775981524249422,0.9118827160493828,97.28025603294373
HAR_plus_QRC_ring_10q,q90,val,600,0.035,0.6866666666666666,0.04611650485436893,0.9047619047619048,0.08775981524249422,0.03846479526769719,0.019038112462591864,10,28,18.90309966433933,0.08775981524249422,0.5429722839049264,97.28025603294373
HAR_plus_QRC_ring_10q,q90,test,800,0.26625,0.62,0.37298387096774194,0.8685446009389671,0.5218617771509168,0.6574561725712544,0.019038112462591864,10,28,18.90309966433933,0.08775981524249422,0.8053042845374349,97.28025603294373
HAR_plus_QRC_ring_10q,q95,train,1800,0.05,0.9877777777777778,0.05061867266591676,1.0,0.09635974304068523,0.34357132219440245,0.001891241340340441,10,28,18.90309966433933,0.05466970387243736,0.9127615334632878,97.28025603294373
HAR_plus_QRC_ring_10q,q95,val,600,0.023333333333333334,0.7083333333333334,0.02823529411764706,0.8571428571428571,0.05466970387243736,0.020877817104382752,0.001891241340340441,10,28,18.90309966433933,0.05466970387243736,0.41686981960019504,97.28025603294373
HAR_plus_QRC_ring_10q,q95,test,800,0.13,0.69375,0.16216216216216217,0.8653846153846154,0.2731411229135053,0.42284390888439993,0.001891241340340441,10,28,18.90309966433933,0.05466970387243736,0.7212643678160919,97.28025603294373
